year,stint_x,tmID,GP_x,GS,minutes,points,fgAttempted,ftAttempted,fg_percentage,ft_percentage,three_percentage,true_shooting_percentage,rebounds_per_minute,steals_per_minute,blocks_per_minute,assists_per_minute,assist_turnover_ratio,effective_fg_percentage_player,free_throw_rate_player,height,weight,awardPointsPlayers,GP_y,won_x,lost_x,win_percentage,effective_fg_percentage,turnover_percentage,free_throw_factor,rebounding_factor,points_per_game,points_allowed_per_game,playoff,stint_y,awardPointsCoaches
4,0,MIN,10,0,96,33,33,2,0.3939393939393939,1.0,0.4166666666666667,0.48701298701298695,0.23958333333333334,0.020833333333333332,0.03125,0.041666666666666664,0.4,0.4696969696969697,0.0,75.0,180,0.0,34,18,16,0.5294117647058824,0.4878665318503539,0.19853694637367642,0.7211538461538461,1.0369359464403514,70.0,69.70588235294117,1,0,0.0
3,0,UTA,28,0,141,43,33,7,0.42424242424242425,0.5714285714285714,0.5238095238095238,0.5958980044345898,0.07801418439716312,0.02127659574468085,0.014184397163120567,0.11347517730496454,1.4545454545454546,0.5909090909090909,0.5714285714285714,67.0,165,0.0,32,20,12,0.625,0.4644165358451073,0.18613872683963542,0.7618483412322274,1.0161569822908592,75.5625,73.25,1,0,0.0
9,0,HOU,34,2,604,273,284,91,0.33098591549295775,0.7912087912087912,0.19117647058823528,0.4212442908282928,0.09933774834437085,0.05132450331125828,0.009933774834437087,0.09768211920529801,1.0727272727272728,0.3538732394366197,0.7912087912087912,68.0,160,0.0,34,17,17,0.5,0.4514234071396295,0.19101739884687993,0.7649456521739131,1.0330629095918975,75.32352941176471,76.6470588235294,0,0,0.0
10,0,WAS,34,4,587,272,253,110,0.3359683794466403,0.6727272727272727,0.34146341463414637,0.45122760451227606,0.10902896081771721,0.06303236797274275,0.0068143100511073255,0.06303236797274275,0.74,0.391304347826087,0.6727272727272727,68.0,160,0.0,34,16,18,0.47058823529411764,0.4546485260770975,0.19112812826681108,0.7013301088270859,1.0434294345322384,76.02941176470588,77.11764705882354,1,0,0.0
1,0,WAS,29,0,272,63,54,22,0.46296296296296297,0.3181818181818182,0.5,0.4946608040201005,0.08823529411764706,0.03308823529411765,0.014705882352941176,0.10294117647058823,1.037037037037037,0.5185185185185185,0.3181818181818182,71.0,153,0.0,32,14,18,0.4375,0.4889685603971318,0.19663314317690764,0.6972318339100346,1.0125452520189362,68.0,69.40625,1,1,0.0
1,0,WAS,29,0,272,63,54,22,0.46296296296296297,0.3181818181818182,0.5,0.4946608040201005,0.08823529411764706,0.03308823529411765,0.014705882352941176,0.10294117647058823,1.037037037037037,0.5185185185185185,0.3181818181818182,71.0,153,0.0,32,14,18,0.4375,0.4889685603971318,0.19663314317690764,0.6972318339100346,1.0125452520189362,68.0,69.40625,1,2,0.0
2,0,WAS,5,0,35,7,9,1,0.3333333333333333,1.0,0.0,0.3707627118644068,0.05714285714285714,0.0,0.0,0.05714285714285714,0.5,0.3333333333333333,0.0,71.0,153,0.0,32,10,22,0.3125,0.4164490861618799,0.18808705961029878,0.6607142857142857,1.0043498343385533,60.25,64.84375,0,0,0.0
2,0,ORL,26,1,252,49,58,14,0.3275862068965517,0.5,0.36363636363636365,0.38185785536159605,0.15079365079365079,0.04365079365079365,0.0,0.05555555555555555,0.5,0.3620689655172414,0.5,72.0,149,0.0,32,13,19,0.40625,0.44670846394984326,0.19672519117842827,0.7325383304940375,1.0109539700195984,66.875,68.90625,0,0,0.0
9,0,SAC,6,0,49,16,16,0,0.4375,0.0,0.3333333333333333,0.5,0.12244897959183673,0.02040816326530612,0.0,0.061224489795918366,0.5,0.5,0.0,71.0,135,0.0,34,18,16,0.5294117647058824,0.4478925428439092,0.18878622698161107,0.7487745098039216,1.0366110080395794,74.8529411764706,75.61764705882354,1,0,0.0
2,0,NYL,2,0,3,1,0,2,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,73.0,175,0.0,32,21,11,0.65625,0.49945295404814005,0.17585513078470824,0.672,0.9576665748531725,67.5625,65.0625,1,0,0.0
4,0,SEA,7,0,47,8,10,4,0.3,0.5,0.0,0.3401360544217687,0.2978723404255319,0.10638297872340426,0.0425531914893617,0.0,0.0,0.3,0.0,73.0,175,0.0,34,18,16,0.5294117647058824,0.47579462102689485,0.16851000913215533,0.7795414462081128,1.0069935325929398,70.23529411764706,66.88235294117646,0,0,0.0
6,0,WAS,3,0,3,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,175,0.0,34,16,18,0.47058823529411764,0.4763719512195122,0.16457075407454488,0.7106227106227107,0.9771805672912836,66.55882352941177,67.79411764705883,0,0,0.0
3,0,SAC,2,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,169,0.0,32,14,18,0.4375,0.42982005141388174,0.16962266396857517,0.7565084226646248,0.9419453125,67.6875,71.6875,0,0,0.0
7,1,CON,1,0,1,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,167,0.0,34,26,8,0.7647058823529411,0.4824007220216607,0.1698050875454245,0.8074074074074075,1.0185061728395062,78.91176470588235,71.08823529411765,1,0,10.0
7,2,NYL,3,0,9,0,1,0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,72.0,167,0.0,34,11,23,0.3235294117647059,0.4494925084581924,0.19651995905834185,0.7876923076923077,0.9385274756880456,69.76470588235294,78.11764705882354,0,0,0.0
4,0,SAC,26,0,171,42,44,12,0.4318181818181818,0.3333333333333333,0.0,0.42613636363636365,0.14035087719298245,0.029239766081871343,0.029239766081871343,0.029239766081871343,0.29411764705882354,0.4318181818181818,0.3333333333333333,78.0,190,0.0,34,19,15,0.5588235294117647,0.44470811580446135,0.16212756379596543,0.6789137380191693,0.9927195758145899,67.61764705882354,65.17647058823529,1,1,0.0
4,0,SAC,26,0,171,42,44,12,0.4318181818181818,0.3333333333333333,0.0,0.42613636363636365,0.14035087719298245,0.029239766081871343,0.029239766081871343,0.029239766081871343,0.29411764705882354,0.4318181818181818,0.3333333333333333,78.0,190,0.0,34,19,15,0.5588235294117647,0.44470811580446135,0.16212756379596543,0.6789137380191693,0.9927195758145899,67.61764705882354,65.17647058823529,1,2,0.0
5,0,SAC,30,0,231,77,64,37,0.390625,0.7297297297297297,0.0,0.47957149975087193,0.1471861471861472,0.012987012987012988,0.025974025974025976,0.021645021645021644,0.2,0.390625,0.7297297297297297,78.0,190,0.0,34,18,16,0.5294117647058824,0.45294401544401547,0.1718176536439513,0.7201986754966887,1.0372158879201132,68.0,65.91176470588235,1,0,0.0
6,0,SAS,34,19,669,203,178,46,0.46629213483146065,0.8043478260869565,0.0,0.512005649717514,0.13452914798206278,0.01195814648729447,0.02242152466367713,0.016442451420029897,0.2,0.46629213483146065,0.8043478260869565,78.0,190,0.0,34,7,27,0.20588235294117646,0.44680851063829785,0.2015156993913096,0.7714723926380368,0.9294908741594621,62.970588235294116,70.61764705882354,0,0,0.0
7,0,SAS,23,20,414,153,112,45,0.5267857142857143,0.7777777777777778,0.0,0.5804248861911987,0.20531400966183574,0.016908212560386472,0.024154589371980676,0.036231884057971016,0.5172413793103449,0.5267857142857143,0.7777777777777778,78.0,190,0.0,34,13,21,0.38235294117647056,0.4476718403547672,0.16059604828412338,0.75,0.9767426096363507,74.20588235294117,76.55882352941177,0,0,0.0
8,0,SAS,11,1,86,28,20,12,0.5,0.6666666666666666,0.0,0.5537974683544303,0.23255813953488372,0.011627906976744186,0.05813953488372093,0.03488372093023256,0.6,0.5,0.6666666666666666,78.0,190,0.0,34,20,14,0.5882352941176471,0.4717371323529412,0.18675448813205348,0.804159445407279,0.9730146597917299,74.02941176470588,73.05882352941177,1,0,10.0
9,0,CON,24,7,367,97,126,15,0.2777777777777778,0.7333333333333333,0.2318840579710145,0.3657616892911011,0.15803814713896458,0.01907356948228883,0.0027247956403269754,0.07084468664850137,1.625,0.3412698412698413,0.7333333333333333,68.0,166,0.0,34,21,13,0.6176470588235294,0.4704724409448819,0.15754807319029995,0.7455048409405256,1.012864049923004,79.11764705882354,74.73529411764706,1,0,10.0
1,0,WAS,30,9,434,75,68,18,0.4264705882352941,0.7777777777777778,0.375,0.49394099051633295,0.10599078341013825,0.0576036866359447,0.0069124423963133645,0.1728110599078341,1.5957446808510638,0.4485294117647059,0.7777777777777778,67.0,125,0.0,32,14,18,0.4375,0.4889685603971318,0.19663314317690764,0.6972318339100346,1.0125452520189362,68.0,69.40625,1,1,0.0
1,0,WAS,30,9,434,75,68,18,0.4264705882352941,0.7777777777777778,0.375,0.49394099051633295,0.10599078341013825,0.0576036866359447,0.0069124423963133645,0.1728110599078341,1.5957446808510638,0.4485294117647059,0.7777777777777778,67.0,125,0.0,32,14,18,0.4375,0.4889685603971318,0.19663314317690764,0.6972318339100346,1.0125452520189362,68.0,69.40625,1,2,0.0
2,0,CHA,18,0,102,12,16,10,0.125,0.8,0.0,0.29411764705882354,0.14705882352941177,0.058823529411764705,0.0,0.13725490196078433,0.8235294117647058,0.125,0.8,67.0,125,0.0,32,18,14,0.5625,0.46207865168539325,0.19064319958814635,0.7765151515151515,1.0027905907272956,64.21875,62.78125,1,0,0.0
3,0,CHA,7,0,31,7,12,0,0.25,0.0,0.25,0.2916666666666667,0.1935483870967742,0.0,0.0,0.16129032258064516,1.6666666666666667,0.2916666666666667,0.0,67.0,125,0.0,32,18,14,0.5625,0.4891061452513967,0.1638738492681908,0.7390648567119156,1.0163673723422755,70.03125,66.65625,1,0,0.0
1,0,CLE,32,18,797,265,195,80,0.4564102564102564,0.75,0.36,0.5755864465682016,0.1191969887076537,0.05144291091593475,0.012547051442910916,0.09410288582183186,1.1538461538461537,0.5256410256410257,0.75,71.0,165,0.0,32,17,15,0.53125,0.4811269146608315,0.20559461938245183,0.7473684210526316,1.0422930763950182,68.28125,66.3125,1,0,0.0
2,0,CLE,32,32,893,152,171,45,0.3391812865497076,0.6666666666666666,0.2,0.3983228511530398,0.09742441209406495,0.05711086226203808,0.011198208286674132,0.11198208286674133,1.639344262295082,0.3567251461988304,0.6666666666666666,71.0,165,0.0,32,22,10,0.6875,0.4610169491525424,0.1822510467120926,0.7366336633663366,1.0236357316649287,62.625,55.875,1,0,10.0
3,0,CLE,32,16,665,91,111,23,0.3063063063063063,0.782608695652174,0.19230769230769232,0.3756605019815059,0.08421052631578947,0.04360902255639098,0.009022556390977444,0.10075187969924812,1.6341463414634145,0.32882882882882886,0.782608695652174,71.0,165,0.0,32,10,22,0.3125,0.45082417582417583,0.17937255401062713,0.7775768535262206,1.0234912146676853,64.71875,66.875,0,0,0.0
5,0,CHA,12,0,65,9,7,3,0.42857142857142855,1.0,0.0,0.5408653846153846,0.06153846153846154,0.0,0.015384615384615385,0.1076923076923077,2.3333333333333335,0.42857142857142855,0.0,71.0,165,0.0,34,16,18,0.47058823529411764,0.47477064220183485,0.19294288246193508,0.7389830508474576,0.9156090203435971,61.529411764705884,63.76470588235294,0,0,0.0
9,0,MIN,34,34,920,314,226,166,0.43805309734513276,0.6987951807228916,0.0,0.5250133761369716,0.2510869565217391,0.08152173913043478,0.04673913043478261,0.04891304347826087,1.0714285714285714,0.43805309734513276,0.6987951807228916,75.0,211,0.0,34,16,18,0.47058823529411764,0.45918367346938777,0.1495962169905805,0.7546296296296297,0.9840551195289471,81.38235294117646,80.02941176470588,0,0,0.0
10,0,MIN,30,29,896,396,265,194,0.49056603773584906,0.6958762886597938,0.25,0.565133006050919,0.24776785714285715,0.09040178571428571,0.03125,0.09040178571428571,1.3278688524590163,0.49245283018867925,0.6958762886597938,75.0,211,0.0,34,14,20,0.4117647058823529,0.4740806380150642,0.1651089139502549,0.7715404699738904,0.983276801876007,80.32352941176471,83.1470588235294,0,0,0.0
1,0,HOU,32,32,977,268,233,49,0.4678111587982833,0.8367346938775511,0.2,0.5263984915147706,0.1218014329580348,0.042988741044012284,0.0030706243602865915,0.06141248720573183,1.1320754716981132,0.4871244635193133,0.8367346938775511,71.0,147,0.0,32,27,5,0.84375,0.5158394931362197,0.16839140285346885,0.8217665615141956,1.0224785210443619,77.34375,64.5625,1,0,0.0
2,0,HOU,32,32,1154,591,509,150,0.4263261296660118,0.9,0.3333333333333333,0.5139130434782608,0.11785095320623917,0.05199306759098787,0.0025996533795493936,0.08145580589254767,1.1325301204819278,0.44793713163064836,0.9,71.0,147,4.0,32,19,13,0.59375,0.4276729559748428,0.16891630119791104,0.7699443413729128,1.0419474136033247,63.96875,62.3125,1,0,0.0
3,0,HOU,32,32,1116,364,302,111,0.423841059602649,0.8828828828828829,0.2702702702702703,0.518754988028731,0.11290322580645161,0.0456989247311828,0.005376344086021506,0.07706093189964158,1.2112676056338028,0.44039735099337746,0.8828828828828829,71.0,147,0.0,32,24,8,0.75,0.45528683914510687,0.1827015740443302,0.7743589743589744,1.004850075955764,64.75,59.125,1,0,0.0
4,0,HOU,34,34,1136,390,324,94,0.4660493827160494,0.8404255319148937,0.24324324324324326,0.5337201664112109,0.11971830985915492,0.03609154929577465,0.0008802816901408451,0.05897887323943662,1.34,0.4799382716049383,0.8404255319148937,71.0,147,0.0,34,20,14,0.5882352941176471,0.46216075156576203,0.17110266159695817,0.7883333333333333,0.9924979794815871,66.0,63.0,1,0,0.0
6,0,HOU,34,34,1079,342,304,94,0.42105263157894735,0.8829787234042553,0.1875,0.49513551077136897,0.08619091751621873,0.05097312326227989,0.005560704355885079,0.04911955514365153,0.9464285714285714,0.42598684210526316,0.8829787234042553,71.0,147,0.0,34,19,15,0.5588235294117647,0.4640625,0.16046213093709885,0.763768115942029,1.000591835274683,67.91176470588235,66.55882352941177,1,0,0.0
1,0,MIA,32,32,869,251,209,117,0.40669856459330145,0.6837606837606838,0.5,0.4818028255528255,0.26582278481012656,0.019562715765247412,0.024165707710011506,0.0333716915995397,0.5918367346938775,0.4090909090909091,0.6837606837606838,77.0,198,0.0,32,13,19,0.40625,0.3886696730552424,0.20230410476572877,0.6807228915662651,1.0442239393629937,57.21875,62.53125,0,0,0.0
2,0,MIA,30,11,431,74,58,32,0.4827586206896552,0.5625,0.0,0.5133185349611543,0.20185614849187936,0.027842227378190254,0.025522041763341066,0.03480278422273782,0.7894736842105263,0.4827586206896552,0.5625,77.0,198,0.0,32,20,12,0.625,0.43838992332968235,0.1806189424115854,0.7590618336886994,0.9883073667423175,61.15625,59.3125,1,0,0.0
3,2,LAS,20,4,215,61,55,14,0.4727272727272727,0.6428571428571429,0.0,0.49869195552648793,0.22790697674418606,0.05116279069767442,0.018604651162790697,0.018604651162790697,0.36363636363636365,0.4727272727272727,0.6428571428571429,77.0,198,0.0,32,25,7,0.78125,0.4935064935064935,0.18445839874411302,0.737984496124031,1.0594135465361818,76.625,69.84375,1,0,0.0
3,1,MIA,6,1,72,11,10,11,0.4,0.2727272727272727,0.0,0.3706199460916442,0.1527777777777778,0.013888888888888888,0.013888888888888888,0.041666666666666664,3.0,0.4,0.2727272727272727,77.0,198,0.0,32,15,17,0.46875,0.45177801724137934,0.17236187276127682,0.6975425330812854,0.9726177137703932,63.9375,65.25,0,0,0.0
7,0,IND,33,1,417,99,87,39,0.4367816091954023,0.46153846153846156,0.29411764705882354,0.4752304147465438,0.18225419664268586,0.04316546762589928,0.011990407673860911,0.05275779376498801,0.6470588235294118,0.46551724137931033,0.46153846153846156,72.0,172,0.0,34,21,13,0.6176470588235294,0.4470615671641791,0.1778113044883884,0.7662721893491125,1.028729557102161,71.61764705882354,68.11764705882354,1,0,0.0
8,0,SAC,28,0,226,58,47,19,0.46808510638297873,0.7368421052631579,0.0,0.5238439306358381,0.19469026548672566,0.04424778761061947,0.022123893805309734,0.06637168141592921,0.45454545454545453,0.46808510638297873,0.7368421052631579,72.0,172,0.0,34,19,15,0.5588235294117647,0.4415085817524842,0.1937959908652626,0.7677852348993288,1.0875856980609648,74.32352941176471,72.94117647058823,1,0,0.0
9,0,SAC,5,1,73,14,16,4,0.375,0.5,0.0,0.3941441441441441,0.1917808219178082,0.0684931506849315,0.0273972602739726,0.1095890410958904,0.8,0.375,0.0,72.0,172,0.0,34,18,16,0.5294117647058824,0.4478925428439092,0.18878622698161107,0.7487745098039216,1.0366110080395794,74.8529411764706,75.61764705882354,1,0,0.0
10,0,SEA,2,1,46,5,8,2,0.25,0.5,0.0,0.2815315315315315,0.391304347826087,0.21739130434782608,0.021739130434782608,0.10869565217391304,1.25,0.25,0.0,72.0,172,0.0,34,20,14,0.5882352941176471,0.4699905482041588,0.18611170726472798,0.785007072135785,1.0011232176486415,74.82352941176471,72.82352941176471,1,0,0.0
9,0,SAS,33,0,348,71,87,16,0.27586206896551724,0.6875,0.2926829268292683,0.3774989366227137,0.13793103448275862,0.04597701149425287,0.03735632183908046,0.06609195402298851,0.8846153846153846,0.3448275862068966,0.6875,70.0,143,0.0,34,24,10,0.7058823529411765,0.47716346153846156,0.18039005483857667,0.80835734870317,0.9166955889023859,74.88235294117646,71.11764705882354,1,0,0.0
7,0,MIN,34,34,1124,744,620,165,0.45645161290322583,0.896969696969697,0.35294117647058826,0.5371065550101068,0.11387900355871886,0.018683274021352312,0.01601423487544484,0.04448398576512456,0.704225352112676,0.4806451612903226,0.896969696969697,72.0,179,5.0,34,10,24,0.29411764705882354,0.46087743102668477,0.1743054093874974,0.7121879588839941,0.9737758584662534,74.20588235294117,80.44117647058823,0,2,0.0
7,0,MIN,34,34,1124,744,620,165,0.45645161290322583,0.896969696969697,0.35294117647058826,0.5371065550101068,0.11387900355871886,0.018683274021352312,0.01601423487544484,0.04448398576512456,0.704225352112676,0.4806451612903226,0.896969696969697,72.0,179,5.0,34,10,24,0.29411764705882354,0.46087743102668477,0.1743054093874974,0.7121879588839941,0.9737758584662534,74.20588235294117,80.44117647058823,0,1,0.0
8,0,MIN,34,34,1093,769,583,173,0.5077186963979416,0.8728323699421965,0.41935483870967744,0.5833535623255249,0.12442817932296432,0.03751143641354071,0.0192131747483989,0.07227813357731015,0.9518072289156626,0.5300171526586621,0.8728323699421965,72.0,179,0.0,34,10,24,0.29411764705882354,0.4469214437367304,0.17462708867694302,0.787833827893175,1.0433578658038265,77.52941176470588,80.94117647058823,0,0,0.0
9,0,MIN,31,31,1042,591,496,118,0.46975806451612906,0.8898305084745762,0.31746031746031744,0.5393123083661849,0.11516314779270634,0.030710172744721688,0.011516314779270634,0.07965451055662189,1.5961538461538463,0.4899193548387097,0.8898305084745762,72.0,179,0.0,34,16,18,0.47058823529411764,0.45918367346938777,0.1495962169905805,0.7546296296296297,0.9840551195289471,81.38235294117646,80.02941176470588,0,0,0.0
10,0,MIN,6,6,178,126,86,21,0.5697674418604651,0.9047619047619048,0.6428571428571429,0.6614867702645948,0.1404494382022472,0.06741573033707865,0.016853932584269662,0.05056179775280899,0.6923076923076923,0.622093023255814,0.9047619047619048,72.0,179,0.0,34,14,20,0.4117647058823529,0.4740806380150642,0.1651089139502549,0.7715404699738904,0.983276801876007,80.32352941176471,83.1470588235294,0,0,0.0
1,2,MIN,3,0,6,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,4.0,0.0,0.0,74.0,172,0.0,32,15,17,0.46875,0.4762424904423812,0.19200457411299296,0.7584459459459459,0.9469884604559526,68.53125,68.375,0,0,0.0
1,1,SEA,1,0,7,0,3,0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,74.0,172,0.0,32,6,26,0.1875,0.4146551724137931,0.2090101280336327,0.6755793226381461,0.9129357029868801,56.9375,67.84375,0,0,0.0
4,0,IND,7,0,44,10,14,4,0.2857142857142857,0.5,0.0,0.31725888324873097,0.20454545454545456,0.0,0.09090909090909091,0.022727272727272728,0.3333333333333333,0.2857142857142857,0.0,75.0,177,0.0,34,16,18,0.47058823529411764,0.469418199900547,0.1734535554319506,0.7975133214920072,1.009493700139586,68.73529411764706,68.26470588235294,0,0,0.0
1,0,UTA,15,15,559,144,104,43,0.4519230769230769,0.9302325581395349,0.4166666666666667,0.585746827204686,0.07334525939177101,0.02146690518783542,0.008944543828264758,0.16457960644007155,3.2857142857142856,0.5,0.9302325581395349,68.0,143,0.0,32,18,14,0.5625,0.4757383966244726,0.19514994977758646,0.7708860759493671,1.0683431623456103,75.40625,75.21875,0,0,0.0
2,0,UTA,32,32,1205,276,184,96,0.4076086956521739,0.9166666666666666,0.5135135135135135,0.6099717114568599,0.08132780082987552,0.018257261410788383,0.008298755186721992,0.14190871369294605,2.4782608695652173,0.5108695652173914,0.9166666666666666,68.0,143,0.0,32,19,13,0.59375,0.4597079502433748,0.18681318681318682,0.7511111111111111,1.0115015820109654,68.96875,68.5,1,2,0.0
2,0,UTA,32,32,1205,276,184,96,0.4076086956521739,0.9166666666666666,0.5135135135135135,0.6099717114568599,0.08132780082987552,0.018257261410788383,0.008298755186721992,0.14190871369294605,2.4782608695652173,0.5108695652173914,0.9166666666666666,68.0,143,0.0,32,19,13,0.59375,0.4597079502433748,0.18681318681318682,0.7511111111111111,1.0115015820109654,68.96875,68.5,1,1,0.0
3,0,UTA,32,32,1151,306,198,104,0.4595959595959596,0.7980769230769231,0.44565217391304346,0.6276665572694454,0.05994787141615986,0.023457862728062554,0.01216333622936577,0.1372719374456994,2.3582089552238807,0.5631313131313131,0.7980769230769231,68.0,143,0.0,32,20,12,0.625,0.4644165358451073,0.18613872683963542,0.7618483412322274,1.0161569822908592,75.5625,73.25,1,0,0.0
4,0,SAS,34,34,1136,260,211,65,0.4028436018957346,0.7846153846153846,0.4020618556701031,0.5425709515859767,0.0801056338028169,0.023767605633802816,0.007922535211267605,0.0977112676056338,1.819672131147541,0.495260663507109,0.7846153846153846,68.0,143,0.0,34,12,22,0.35294117647058826,0.4054642166344294,0.17660180939397693,0.7309782608695652,0.9803670892869922,65.1470588235294,71.38235294117646,0,2,0.0
4,0,SAS,34,34,1136,260,211,65,0.4028436018957346,0.7846153846153846,0.4020618556701031,0.5425709515859767,0.0801056338028169,0.023767605633802816,0.007922535211267605,0.0977112676056338,1.819672131147541,0.495260663507109,0.7846153846153846,68.0,143,0.0,34,12,22,0.35294117647058826,0.4054642166344294,0.17660180939397693,0.7309782608695652,0.9803670892869922,65.1470588235294,71.38235294117646,0,1,0.0
1,0,CLE,25,0,201,47,48,6,0.3541666666666667,0.8333333333333334,0.3333333333333333,0.4640600315955766,0.05472636815920398,0.0845771144278607,0.004975124378109453,0.1044776119402985,1.1666666666666667,0.4375,0.8333333333333334,64.0,125,0.0,32,17,15,0.53125,0.4811269146608315,0.20559461938245183,0.7473684210526316,1.0422930763950182,68.28125,66.3125,1,0,0.0
2,0,CLE,19,0,114,21,20,0,0.4,0.0,0.38461538461538464,0.525,0.10526315789473684,0.043859649122807015,0.0,0.09649122807017543,1.375,0.525,0.0,64.0,125,0.0,32,22,10,0.6875,0.4610169491525424,0.1822510467120926,0.7366336633663366,1.0236357316649287,62.625,55.875,1,0,10.0
